REGION,TECHNOLOGY,YEAR,VALUE
REGION1,ATBMCSPN2,2030,0.4043183610225325
REGION1,ATBMCSPN2,2031,0.012377736918817562
REGION1,ATBMCSPN2,2032,0.015522632555468045
REGION1,ATBMCSPN2,2033,0.019096956145594216
REGION1,ATBMCSPN2,2034,0.023219840089811525
REGION1,ATBMCSPN2,2035,0.028042983078048755
REGION1,ATBMCSPN2,2036,0.03376173081850254
REGION1,ATBMCSPN2,2037,0.040633080539111605
REGION1,ATBMCSPN2,2038,0.049803964953803126
REGION1,ATBMCSPN2,2039,0.07856985248416294
REGION1,ATBMCSPN2,2040,0.10777347371770502
REGION1,ATBMCSPN2,2041,0.12148109452947026
REGION1,ATBMCSPN2,2042,0.13652272263953263
REGION1,ATBMCSPN2,2043,0.15297822805275316
REGION1,ATBMCSPN2,2044,0.17092832632891397
REGION1,ATBMCSPN2,2045,0.19045501116412816
REGION1,ATBMCSPN2,2046,0.2116424499800872
REGION1,ATBMCSPN2,2047,0.2345785774008772
REGION1,ATBMCSPN2,2048,0.2593577553071636
REGION1,ATBMCSPN2,2049,0.2536633951888446
REGION1,ATBMCSPN2,2050,0.24406982680855324
REGION1,ATBMCSPN2,2051,0.2562460683742964
REGION1,ATBMCSPN2,2052,0.2702951571778107
REGION1,ATBMCSPN2,2053,0.286964728237066
REGION1,ATBMCSPN2,2054,0.3073434488673836
REGION1,ATBMCSPN2,2055,0.33311350655978145
REGION1,ATBMCSPN2,2056,0.3670647687056569
REGION1,ATBMCSPN2,2057,0.41431279520558206
REGION1,ATBMCSPN2,2058,0.48546188130824
REGION1,ATBMCSPN2,2059,0.6074124123415302
REGION1,ATBMCSPN2,2060,0.87852363305766
REGION1,ATBMSTPH3,2023,0.7913628255472598
REGION1,ATBMSTPH3,2024,0.6003508162533944
REGION1,ATBMSTPH3,2025,0.15775850655978282
REGION1,ATGOCVPH2,2023,0.02423141042256887
REGION1,ATGOCVPH2,2024,0.001497683746605898
REGION1,ATGOCVPH2,2025,0.0015027378893198765
REGION1,ATGOCVPH2,2026,0.002901096690215437
REGION1,ATGOCVPH2,2027,0.002910999365546008
REGION1,ATGOCVPH2,2028,0.0029208820556297847
REGION1,ATGOCVPH2,2029,0.0029308037987845013
REGION1,ATGOCVPH2,2030,0.0029406986050608485
REGION1,ATGOCVPH2,2031,0.006380580226604222
REGION1,ATGOCVPH2,2032,0.006406959621560806
REGION1,ATGOCVPH2,2033,0.006433248854143101
REGION1,ATGOCVPH2,2034,0.006459985874929956
REGION1,ATGOCVPH2,2035,0.006486491840483576
REGION1,ATGOCVPH2,2036,0.004755072398902697
REGION1,ATGOCVPH2,2037,0.004775202258765456
REGION1,ATHFCHPH3,2015,0.409203999999997
REGION1,ATHFCHPH3,2016,0.192280000000002
REGION1,ATHFCHPH3,2017,0.191414999999999
REGION1,ATHFCHPH3,2018,0.19925500000000096
REGION1,ATHFCHPH3,2019,0.18127500000000107
REGION1,ATHFCHPH3,2020,0.34802999999999984
REGION1,ATHFCHPH3,2021,0.45780453361573525
REGION1,ATHFCHPH3,2022,0.3658523373694661
REGION1,ATHFCHPH3,2023,1.1314532129374864
REGION1,ATHFCHPH3,2025,0.20289575555089767
REGION1,ATHFCHPH3,2026,0.11553590330978468
REGION1,ATHFCHPH3,2027,0.15911050063445398
REGION1,ATHFCHPH3,2028,0.16333111794437016
REGION1,ATHFCHPH3,2029,0.24980769620121637
REGION1,ATHFCHPH3,2031,0.5355711232269847
REGION1,ATHFCHPH3,2032,0.1897229078229705
REGION1,ATHFCHPH3,2033,0.19321429500026333
REGION1,ATHFCHPH3,2034,0.7664991740352592
REGION1,ATHFCHPH3,2037,0.0743939840539222
REGION1,ATHFCHPH3,2039,0.4199851493681744
REGION1,ATHFCHPH3,2042,0.4743545825295135
REGION1,ATHFCHPH3,2043,0.2603867719472479
REGION1,ATHFCHPH3,2044,0.3666916736710859
REGION1,ATHFCHPH3,2045,0.3740699888358745
REGION1,ATHFCHPH3,2046,0.4407070836356504
REGION1,ATHFCHPH3,2047,0.2511237599685894
REGION1,ATHFCHPH3,2048,1.0422054576303208
REGION1,ATHFCHPH3,2049,0.07415160481115723
REGION1,ATHFCHPH3,2050,0.17162092874234336
REGION1,ATHFCHPH3,2051,0.13247430131975335
REGION1,ATHFCHPH3,2052,0.11061049646696032
REGION1,ATHFCHPH3,2053,0.76247376634725
REGION1,ATHFCHPH3,2054,0.7547500635872285
REGION1,ATHFCHPH3,2056,0.7912663545213262
REGION1,ATHFCHPH3,2059,0.0509142880031389
REGION1,ATHYDSPH3,2022,1.2063693194645464
REGION1,ATHYDSPH3,2023,0.12141236221320156
REGION1,ATHYDSPH3,2024,0.0992350846313801
REGION1,ATHYDSPH3,2025,0.0465471196783303
REGION1,ATHYDSPH3,2026,0.0011677700364788389
REGION1,ATHYDSPH3,2027,0.000990364248470691
REGION1,ATHYDSPH3,2028,0.007878811020682204
REGION1,ATHYDSPH3,2029,0.03246215103920562
REGION1,ATHYDSPH3,2030,0.03422556457189585
REGION1,ATHYDSPH3,2031,0.014219911054646076
REGION1,ATHYDSPH3,2032,0.09000610960494662
REGION1,ATHYDSPH3,2033,0.041611364721430046
REGION1,ATHYDSPH3,2034,0.05798436487143093
REGION1,ATHYDSPH3,2035,0.04876436609349059
REGION1,ATHYDSPH3,2036,0.04640090955007102
REGION1,ATHYDSPH3,2037,0.045982231890389115
REGION1,ATHYDSPH3,2038,0.18919478237832316
REGION1,ATHYDSPH3,2039,0.13424512891430748
REGION1,ATHYDSPH3,2040,0.015599716637971849
REGION1,ATHYDSPH3,2041,0.03771491644607785
REGION1,ATHYDSPH3,2042,0.06874318876681
REGION1,ATHYDSPH3,2043,0.053688533597357445
REGION1,ATHYDSPH3,2044,0.1545401759580735
REGION1,ATHYDSPH3,2045,0.05529937815237144
REGION1,ATHYDSPH3,2046,0.1085332274685272
REGION1,ATHYDSPH3,2047,0.05594150159244013
REGION1,ATHYDSPH3,2048,0.09119358574966256
REGION1,ATHYDSPH3,2049,0.2375182803958944
REGION1,ATHYDSPH3,2050,0.17548384999233196
REGION1,ATHYDSPH3,2051,0.06289586549025906
REGION1,ATHYDSPH3,2052,0.1086894015702831
REGION1,ATHYDSPH3,2053,0.011316906687915452
REGION1,ATHYDSPH3,2054,0.10902647256747144
REGION1,ATHYDSPH3,2055,0.08340042646698345
REGION1,ATHYDSPH3,2056,0.689048765492102
REGION1,ATHYDSPH3,2057,0.016374525727993496
REGION1,ATHYDSPH3,2058,0.04684418979225656
REGION1,ATHYDSPH3,2059,0.25858937307934804
REGION1,ATHYDSPH3,2060,0.19459127815219143
REGION1,ATNGCCPH2,2038,0.13036401367822328
REGION1,ATNGCCPH2,2039,0.08155064850308513
REGION1,ATNGCCPH2,2040,0.44121052628229174
REGION1,ATNGCCPH2,2041,0.26376390547053447
REGION1,ATNGCCPH2,2042,0.6539776948309489
REGION1,ATSOUTPH2,2022,0.23632403573904232
REGION1,ATSOUTPH2,2023,1.0
REGION1,ATSOUTPH2,2024,0.8379087007523404
REGION1,ATSOUTPH2,2025,0.6986448269773609
REGION1,ATSOUTPH2,2026,0.39058318462718017
REGION1,ATSOUTPH2,2027,0.050225862170440186
REGION1,ATSOUTPH2,2028,0.048061868435421
REGION1,ATSOUTPH2,2029,0.047995868435418976
REGION1,ATSOUTPH2,2030,0.04794286843541944
REGION1,ATSOUTPH2,2031,0.02741392482024225
REGION1,ATSOUTPH2,2032,0.06700192482024095
REGION1,ATSOUTPH2,2033,0.03411293108521804
REGION1,ATSOUTPH2,2034,0.04939592482024121
REGION1,ATSOUTPH2,2035,0.1081129310852202
REGION1,ATSOUTPH2,2036,0.18582993735019812
REGION1,ATSOUTPH2,2037,0.06882993735019931
REGION1,ATSOUTPH2,2038,0.2858299373502024
REGION1,ATSOUTPH2,2039,0.18182993735020292
REGION1,ATSOUTPH2,2040,0.17482993735019917
REGION1,ATSOUTPH2,2041,0.10045172434087676
REGION1,ATSOUTPH2,2042,0.10273471807589764
REGION1,ATSOUTPH2,2043,0.10045172434088231
REGION1,ATSOUTPH2,2044,0.10045172434087962
REGION1,ATSOUTPH2,2045,0.10045172434088158
REGION1,ATSOUTPH2,2046,0.30363816675766075
REGION1,ATSOUTPH2,2047,0.985147236764359
REGION1,ATSOUTPH2,2048,1.0
REGION1,ATSOUTPH2,2049,1.0
REGION1,ATSOUTPH2,2050,1.0
REGION1,ATSOUTPH2,2051,0.6531274641544829
REGION1,ATSOUTPH2,2052,0.32418511037284475
REGION1,ATSOUTPH2,2053,0.3311530915779013
REGION1,ATSOUTPH2,2054,0.34478505398802045
REGION1,ATSOUTPH2,2055,0.3538640289280995
REGION1,ATSOUTPH2,2056,0.18722348627164304
REGION1,ATSOUTPH2,2057,0.23137747374168083
REGION1,ATSOUTPH2,2058,0.19848848000665809
REGION1,ATSOUTPH2,2059,0.2206204549467412
REGION1,ATSOUTPH2,2060,0.2793374612117208
REGION1,ATWIONPN3,2035,6.997110501629316
REGION1,ATWIONPN3,2036,6.504708856409739
REGION1,ATWIONPN3,2037,0.4096986393017802
REGION1,ATWIONPN3,2038,0.42927468350048903
REGION1,ATWIONPN3,2039,0.5663069928915401
REGION1,ATWIONPN3,2040,0.3230000000000008
REGION1,ATWIONPN3,2060,6.99711050162931
REGION1,ATWSSTPH1,2021,0.12775946638426475
REGION1,ATWSSTPH1,2022,0.8832916626305337
REGION1,ATWSSTPH1,2023,0.021429551092684993
REGION1,ATWSSTPH1,2037,0.0016265551452168594
