REGION,TECHNOLOGY,FUEL,YEAR,VALUE
REGION1,ATBM00X00,ATBM,2015,26.324080408823495
REGION1,ATBM00X00,ATBM,2016,26.324078861485688
REGION1,ATBM00X00,ATBM,2017,26.324076185627426
REGION1,ATBM00X00,ATBM,2018,26.3240808106544
REGION1,ATBM00X00,ATBM,2019,26.324078774112056
REGION1,ATBM00X00,ATBM,2020,26.324077547246947
REGION1,ATBM00X00,ATBM,2021,18.44172783115589
REGION1,ATBM00X00,ATBM,2022,14.690588467646268
REGION1,ATBM00X00,ATBM,2023,64.6033663845855
REGION1,ATBM00X00,ATBM,2024,102.4686506064166
REGION1,ATBM00X00,ATBM,2025,112.41877163627518
REGION1,ATBM00X00,ATBM,2026,112.41879173867939
REGION1,ATBM00X00,ATBM,2027,112.41881714982652
REGION1,ATBM00X00,ATBM,2028,112.41878690191346
REGION1,ATBM00X00,ATBM,2029,112.34444048640741
REGION1,ATBM00X00,ATBM,2030,134.6117709491492
REGION1,ATBM00X00,ATBM,2031,135.49365849263606
REGION1,ATBM00X00,ATBM,2032,136.45140978281523
REGION1,ATBM00X00,ATBM,2033,137.8467595965658
REGION1,ATBM00X00,ATBM,2034,138.94335385166576
REGION1,ATBM00X00,ATBM,2035,140.7679264784672
REGION1,ATBM00X00,ATBM,2036,139.63545453365353
REGION1,ATBM00X00,ATBM,2037,142.52179173924918
REGION1,ATBM00X00,ATBM,2038,146.22865899710848
REGION1,ATBM00X00,ATBM,2039,151.22294481897578
REGION1,ATBM00X00,ATBM,2040,153.83595533982387
REGION1,ATBM00X00,ATBM,2041,155.24192593738496
REGION1,ATBM00X00,ATBM,2042,156.6489471868973
REGION1,ATBM00X00,ATBM,2043,158.0549782309054
REGION1,ATBM00X00,ATBM,2044,159.46094039419722
REGION1,ATBM00X00,ATBM,2045,160.86695404372165
REGION1,ATBM00X00,ATBM,2046,162.54995072843468
REGION1,ATBM00X00,ATBM,2047,164.23191737545426
REGION1,ATBM00X00,ATBM,2048,165.9149220071548
REGION1,ATBM00X00,ATBM,2049,167.59792648137616
REGION1,ATBM00X00,ATBM,2050,169.2809085756221
REGION1,ATBM00X00,ATBM,2051,170.63489763182812
REGION1,ATBM00X00,ATBM,2052,171.9998880974886
REGION1,ATBM00X00,ATBM,2053,173.37592133442075
REGION1,ATBM00X00,ATBM,2054,174.7629241798459
REGION1,ATBM00X00,ATBM,2055,176.16091627577472
REGION1,ATBM00X00,ATBM,2056,177.56991516737295
REGION1,ATBM00X00,ATBM,2057,178.99090433553488
