REGION,TECHNOLOGY,YEAR,VALUE
REGION1,ATBMCSPN2,2030,484.03766252848624
REGION1,ATBMCSPN2,2031,18.092545490928007
REGION1,ATBMCSPN2,2032,26.600124251362743
REGION1,ATBMCSPN2,2033,37.30728354461783
REGION1,ATBMCSPN2,2034,50.66764262736165
REGION1,ATBMCSPN2,2035,67.2951483861666
REGION1,ATBMCSPN2,2036,88.01619985592208
REGION1,ATBMCSPN2,2037,113.95053146555507
REGION1,ATBMCSPN2,2038,149.03216827071213
REGION1,ATBMCSPN2,2039,249.1780446884096
REGION1,ATBMCSPN2,2040,360.1724365723188
REGION1,ATBMCSPN2,2041,425.710893666591
REGION1,ATBMCSPN2,2042,499.5372456769581
REGION1,ATBMCSPN2,2043,582.2818193863229
REGION1,ATBMCSPN2,2044,674.5842944495131
REGION1,ATBMCSPN2,2045,777.0940988515134
REGION1,ATBMCSPN2,2046,890.473253010951
REGION1,ATBMCSPN2,2047,1015.4030013669068
REGION1,ATBMCSPN2,2048,1152.596315201948
REGION1,ATBMCSPN2,2049,1155.1725433523422
REGION1,ATBMCSPN2,2050,1137.0340106718445
REGION1,ATBMCSPN2,2051,1219.3062258859532
REGION1,ATBMCSPN2,2052,1311.821480141166
REGION1,ATBMCSPN2,2053,1418.67397111398
REGION1,ATBMCSPN2,2054,1545.8902629739296
REGION1,ATBMCSPN2,2055,1702.8325128278773
REGION1,ATBMCSPN2,2056,1905.0608066923428
REGION1,ATBMCSPN2,2057,2181.100957771449
REGION1,ATBMCSPN2,2058,2590.053950931019
REGION1,ATBMCSPN2,2059,3281.6771672696696
REGION1,ATBMCSPN2,2060,4802.87420523512
REGION1,ATGOCVPH2,2023,12.602998650803126
REGION1,ATGOCVPH2,2024,1.129011942097636
REGION1,ATGOCVPH2,2025,1.4595893713584638
REGION1,ATGOCVPH2,2026,3.403981728098936
REGION1,ATGOCVPH2,2027,3.9614303851573465
REGION1,ATGOCVPH2,2028,4.482386422939648
REGION1,ATGOCVPH2,2029,4.968739083061688
REGION1,ATGOCVPH2,2030,5.422094224635821
REGION1,ATGOCVPH2,2031,12.652049404544082
REGION1,ATGOCVPH2,2032,13.527335675663007
