REGION,TECHNOLOGY,YEAR,VALUE
REGION1,ATBFHPFH1,2015,0.02941
REGION1,ATBFHPFH1,2016,0.02941
REGION1,ATBFHPFH1,2017,0.02941
REGION1,ATBFHPFH1,2018,0.02941
REGION1,ATBFHPFH1,2019,0.02941
REGION1,ATBFHPFH1,2020,0.02941
REGION1,ATBFHPFH1,2021,0.02941
REGION1,ATBFHPFH1,2022,0.02941
REGION1,ATBFHPFH1,2023,0.027933
REGION1,ATBFHPFH1,2024,0.011601
REGION1,ATBFHPFH1,2025,0.008426
REGION1,ATBFHPFH1,2026,0.00758
REGION1,ATBFHPFH1,2027,0.00458
REGION1,ATBFHPFH1,2028,0.00425
REGION1,ATBFHPFH1,2029,0.00425
REGION1,ATBMCSPN2,2030,0.4043183610225325
REGION1,ATBMCSPN2,2031,0.41669609794135004
REGION1,ATBMCSPN2,2032,0.4322187304968181
REGION1,ATBMCSPN2,2033,0.4513156866424123
REGION1,ATBMCSPN2,2034,0.4745355267322238
REGION1,ATBMCSPN2,2035,0.5025785098102726
REGION1,ATBMCSPN2,2036,0.5363402406287752
REGION1,ATBMCSPN2,2037,0.5769733211678867
REGION1,ATBMCSPN2,2038,0.6267772861216898
REGION1,ATBMCSPN2,2039,0.7053471386058527
REGION1,ATBMCSPN2,2040,0.8131206123235577
REGION1,ATBMCSPN2,2041,0.9346017068530279
REGION1,ATBMCSPN2,2042,1.0711244294925606
REGION1,ATBMCSPN2,2043,1.2241026575453138
REGION1,ATBMCSPN2,2044,1.3950309838742276
REGION1,ATBMCSPN2,2045,1.585485995038356
REGION1,ATBMCSPN2,2046,1.7971284450184433
REGION1,ATBMCSPN2,2047,2.0317070224193206
REGION1,ATBMCSPN2,2048,2.291064777726484
REGION1,ATBMCSPN2,2049,2.544728172915329
REGION1,ATBMCSPN2,2050,2.788797999723882
REGION1,ATBMCSPN2,2051,3.0450440680981785
REGION1,ATBMCSPN2,2052,3.3153392252759892
REGION1,ATBMCSPN2,2053,3.602303953513055
REGION1,ATBMCSPN2,2054,3.909647402380439
REGION1,ATBMCSPN2,2055,4.2427609089402205
REGION1,ATBMCSPN2,2056,4.609825677645877
REGION1,ATBMCSPN2,2057,5.024138472851459
REGION1,ATBMCSPN2,2058,5.509600354159699
REGION1,ATBMCSPN2,2059,6.117012766501229
REGION1,ATBMCSPN2,2060,6.995536399558889
REGION1,ATBMSTPH3,2015,0.417366
REGION1,ATBMSTPH3,2016,0.417366
REGION1,ATBMSTPH3,2017,0.417366
REGION1,ATBMSTPH3,2018,0.417366
REGION1,ATBMSTPH3,2019,0.417366
REGION1,ATBMSTPH3,2020,0.417366
REGION1,ATBMSTPH3,2021,0.292392
REGION1,ATBMSTPH3,2022,0.232918
REGION1,ATBMSTPH3,2023,1.0242808255472597
REGION1,ATBMSTPH3,2024,1.6246316418006541
REGION1,ATBMSTPH3,2025,1.782390148360437
REGION1,ATBMSTPH3,2026,1.782390148360437
REGION1,ATBMSTPH3,2027,1.782390148360437
REGION1,ATBMSTPH3,2028,1.782390148360437
REGION1,ATBMSTPH3,2029,1.781211148360437
REGION1,ATBMSTPH3,2030,1.628858148360437
REGION1,ATBMSTPH3,2031,1.628858148360437
REGION1,ATBMSTPH3,2032,1.6262381483604371
REGION1,ATBMSTPH3,2033,1.6262381483604371
REGION1,ATBMSTPH3,2034,1.616544148360437
REGION1,ATBMSTPH3,2035,1.6126141483604368
REGION1,ATBMSTPH3,2036,1.554974148360437
REGION1,ATBMSTPH3,2037,1.552878148360437
REGION1,ATBMSTPH3,2038,1.552878148360437
REGION1,ATBMSTPH3,2039,1.549472148360437
REGION1,ATBMSTPH3,2040,1.549472148360437
REGION1,ATBMSTPH3,2041,1.549472148360437
REGION1,ATBMSTPH3,2042,1.549472148360437
REGION1,ATBMSTPH3,2043,1.549472148360437
REGION1,ATBMSTPH3,2044,1.549472148360437
REGION1,ATBMSTPH3,2045,1.549472148360437
REGION1,ATBMSTPH3,2046,1.549472148360437
REGION1,ATBMSTPH3,2047,1.549472148360437
REGION1,ATBMSTPH3,2048,1.549472148360437
REGION1,ATBMSTPH3,2049,1.549472148360437
REGION1,ATBMSTPH3,2050,1.549472148360437
REGION1,ATBMSTPH3,2051,1.549472148360437
REGION1,ATBMSTPH3,2052,1.549472148360437
REGION1,ATBMSTPH3,2053,0.7581093228131772
REGION1,ATBMSTPH3,2054,0.15775850655978282
REGION1,ATCOCHPH3,2015,0.8924
REGION1,ATCOCHPH3,2016,0.8924
REGION1,ATCOCHPH3,2017,0.8924
REGION1,ATCOCHPH3,2018,0.8924
REGION1,ATCOCHPH3,2019,0.8924
REGION1,ATCOCHPH3,2020,0.8808
REGION1,ATCOCHPH3,2021,0.8258
REGION1,ATCOCHPH3,2022,0.8048
REGION1,ATCOCHPH3,2023,0.0468
REGION1,ATCOSTPH3,2015,0.6992
REGION1,ATCOSTPH3,2016,0.6992
REGION1,ATCOSTPH3,2017,0.6992
REGION1,ATCOSTPH3,2018,0.6992
REGION1,ATCOSTPH3,2019,0.6992
REGION1,ATCOSTPH3,2020,0.5752
REGION1,ATCOSTPH3,2021,0.3582
REGION1,ATCOSTPH3,2022,0.3582
REGION1,ATCOSTPH3,2023,0.0282
REGION1,ATCOSTPH3,2024,0.0282
REGION1,ATCOSTPH3,2025,0.0282
REGION1,ATCOSTPH3,2026,0.0282
REGION1,ATCOSTPH3,2027,0.0282
REGION1,ATCOSTPH3,2028,0.0282
REGION1,ATCOSTPH3,2029,0.0282
REGION1,ATELCHPH1,2015,1.898
REGION1,ATELCHPH1,2016,2.148
REGION1,ATELCHPH1,2017,2.153
REGION1,ATELCHPH1,2018,2.153
REGION1,ATELCHPH1,2019,2.153
REGION1,ATELCHPH1,2020,2.153
REGION1,ATELCHPH1,2021,2.153
REGION1,ATELCHPH1,2022,2.153
REGION1,ATELCHPH1,2023,2.153
REGION1,ATELCHPH1,2024,2.153
REGION1,ATELCHPH1,2025,2.153
REGION1,ATELCHPH1,2026,2.153
REGION1,ATELCHPH1,2027,2.153
