REGION,TECHNOLOGY,YEAR,VALUE
REGION1,ATBM00X00,2015,26.324080408823495
REGION1,ATBM00X00,2016,26.324078861485688
REGION1,ATBM00X00,2017,26.324076185627426
REGION1,ATBM00X00,2018,26.3240808106544
REGION1,ATBM00X00,2019,26.324078774112056
REGION1,ATBM00X00,2020,26.324077547246947
REGION1,ATBM00X00,2021,18.44172783115589
REGION1,ATBM00X00,2022,14.690588467646268
REGION1,ATBM00X00,2023,64.6033663845855
REGION1,ATBM00X00,2024,102.4686506064166
REGION1,ATBM00X00,2025,112.41877163627518
REGION1,ATBM00X00,2026,112.41879173867939
REGION1,ATBM00X00,2027,112.41881714982652
REGION1,ATBM00X00,2028,112.41878690191346
REGION1,ATBM00X00,2029,112.34444048640741
REGION1,ATBM00X00,2030,134.6117709491492
REGION1,ATBM00X00,2031,135.49365849263606
REGION1,ATBM00X00,2032,136.45140978281523
REGION1,ATBM00X00,2033,137.8467595965658
REGION1,ATBM00X00,2034,138.94335385166576
REGION1,ATBM00X00,2035,140.7679264784672
REGION1,ATBM00X00,2036,139.63545453365353
REGION1,ATBM00X00,2037,142.52179173924918
REGION1,ATBM00X00,2038,146.22865899710848
REGION1,ATBM00X00,2039,151.22294481897578
REGION1,ATBM00X00,2040,153.83595533982387
REGION1,ATBM00X00,2041,155.24192593738496
REGION1,ATBM00X00,2042,156.6489471868973
REGION1,ATBM00X00,2043,158.0549782309054
REGION1,ATBM00X00,2044,159.46094039419722
REGION1,ATBM00X00,2045,160.86695404372165
REGION1,ATBM00X00,2046,162.54995072843468
REGION1,ATBM00X00,2047,164.23191737545426
REGION1,ATBM00X00,2048,165.9149220071548
REGION1,ATBM00X00,2049,167.59792648137616
REGION1,ATBM00X00,2050,169.2809085756221
REGION1,ATBM00X00,2051,170.63489763182812
REGION1,ATBM00X00,2052,171.9998880974886
REGION1,ATBM00X00,2053,173.37592133442075
REGION1,ATBM00X00,2054,174.7629241798459
REGION1,ATBM00X00,2055,176.16091627577472
REGION1,ATBM00X00,2056,177.56991516737295
REGION1,ATBM00X00,2057,178.99090433553488
REGION1,ATBM00X00,2058,180.42293792708534
REGION1,ATBM00X00,2059,181.86593235070126
REGION1,ATBM00X00,2060,183.32092765232832
REGION1,ATBMCSPN2,2030,10.83799597608713
REGION1,ATBMCSPN2,2031,11.16978930746246
REGION1,ATBMCSPN2,2032,11.585882164377034
REGION1,ATBMCSPN2,2033,12.097788182871355
REGION1,ATBMCSPN2,2034,12.720210198076884
REGION1,ATBMCSPN2,2035,13.471919557666935
REGION1,ATBMCSPN2,2036,14.37692149041087
REGION1,ATBMCSPN2,2037,15.466116682231666
REGION1,ATBMCSPN2,2038,16.801141242218577
REGION1,ATBMCSPN2,2039,18.907254284208037
REGION1,ATBMCSPN2,2040,21.796185536076166
REGION1,ATBMCSPN2,2041,25.052559619336915
REGION1,ATBMCSPN2,2042,28.71213379376949
REGION1,ATBMCSPN2,2043,32.81280646282943
REGION1,ATBMCSPN2,2044,37.394645224300774
REGION1,ATBMCSPN2,2045,42.4999022977332
REGION1,ATBMCSPN2,2046,48.17310895260023
REGION1,ATBMCSPN2,2047,54.46111835071725
REGION1,ATBMCSPN2,2048,61.41336061055425
REGION1,ATBMCSPN2,2049,63.14585006117842
REGION1,ATBMCSPN2,2050,64.32671952804861
REGION1,ATBMCSPN2,2051,65.28555541894279
REGION1,ATBMCSPN2,2052,66.1683092437529
REGION1,ATBMCSPN2,2053,66.9896531565321
REGION1,ATBMCSPN2,2054,67.76199334637907
REGION1,ATBMCSPN2,2055,68.49553096816108
REGION1,ATBMCSPN2,2056,69.19782206887167
REGION1,ATBMCSPN2,2057,69.87655984334944
REGION1,ATBMCSPN2,2058,70.53667437900641
REGION1,ATBMCSPN2,2059,71.18235425264146
REGION1,ATBMCSPN2,2060,71.81761569712657
REGION1,ATBMSTPH3,2015,9.21343735652558
REGION1,ATBMSTPH3,2016,9.213436814956806
REGION1,ATBMSTPH3,2017,9.213435878405477
REGION1,ATBMSTPH3,2018,9.213437497166538
REGION1,ATBMSTPH3,2019,9.213436784376004
REGION1,ATBMSTPH3,2020,9.213436354972787
REGION1,ATBMSTPH3,2021,6.454611195515758
REGION1,ATBMSTPH3,2022,5.141711105387299
REGION1,ATBMSTPH3,2023,22.611200845805772
REGION1,ATBMSTPH3,2024,35.864063576309384
REGION1,ATBMSTPH3,2025,39.346609419305736
REGION1,ATBMSTPH3,2026,39.34661645515424
REGION1,ATBMSTPH3,2027,39.34662534906463
REGION1,ATBMSTPH3,2028,39.346614762284474
REGION1,ATBMSTPH3,2029,39.32059349083609
REGION1,ATBMSTPH3,2030,35.95738183785228
REGION1,ATBMSTPH3,2031,35.95736838425466
REGION1,ATBMSTPH3,2032,35.89953714475874
REGION1,ATBMSTPH3,2033,35.899526165661605
REGION1,ATBMSTPH3,2034,35.68553850638936
REGION1,ATBMSTPH3,2035,35.59877225955381
REGION1,ATBMSTPH3,2036,34.32636306447476
REGION1,ATBMSTPH3,2037,34.28009489217144
REGION1,ATBMSTPH3,2038,34.28009097350301
REGION1,ATBMSTPH3,2039,33.96517577187798
REGION1,ATBMSTPH3,2040,32.0464526755004
REGION1,ATBMSTPH3,2041,29.47989631799939
REGION1,ATBMSTPH3,2042,26.56837452655583
REGION1,ATBMSTPH3,2043,23.283646929109743
REGION1,ATBMSTPH3,2044,19.597551618112835
REGION1,ATBMSTPH3,2045,15.481188242058353
REGION1,ATBMSTPH3,2046,11.001344974781572
REGION1,ATBMSTPH3,2047,6.029716313264559
REGION1,ATBMSTPH3,2048,0.5356383637099655
REGION1,ATCO00I00,2015,68.60911761410618
REGION1,ATCO00I00,2016,85.4663388977215
REGION1,ATCO00I00,2017,98.16124523616394
REGION1,ATCO00I00,2018,37.85820897215405
REGION1,ATCO00I00,2019,37.69503888784098
REGION1,ATCO00I00,2020,30.87576030924768
REGION1,ATCOCHPH3,2015,11.801957410797463
REGION1,ATCOCHPH3,2016,18.6215484820334
REGION1,ATCOCHPH3,2017,23.92131678855384
REGION1,ATCOSTPH3,2015,17.639975259822354
REGION1,ATCOSTPH3,2016,17.639976422382876
REGION1,ATCOSTPH3,2017,17.639975845692646
REGION1,ATCOSTPH3,2018,17.639975105376138
REGION1,ATCOSTPH3,2019,17.639974958159673
REGION1,ATCOSTPH3,2020,14.51160444302552
REGION1,ATEL00TD0,2015,239.56590028553995
REGION1,ATEL00TD0,2016,239.91326847450298
REGION1,ATEL00TD0,2017,240.23958404595308
REGION1,ATEL00TD0,2018,240.53432069113387
REGION1,ATEL00TD0,2019,240.81853102755812
REGION1,ATEL00TD0,2020,241.07116243771307
REGION1,ATEL00TD0,2021,246.0080012444907
REGION1,ATEL00TD0,2022,250.95536636002478
REGION1,ATEL00TD0,2023,255.92392241549155
REGION1,ATEL00TD0,2024,260.90309699466127
REGION1,ATEL00TD0,2025,265.9033702988172
REGION1,ATEL00TD0,2026,270.8612617231077
REGION1,ATEL00TD0,2027,275.8402057649112
REGION1,ATEL00TD0,2028,280.8192005249352
REGION1,ATEL00TD0,2029,285.8194415538598
REGION1,ATEL00TD0,2030,290.82996452193265
REGION1,ATEL00TD0,2031,300.84056714277364
REGION1,ATEL00TD0,2032,310.83003415264994
REGION1,ATEL00TD0,2033,320.8092791630932
REGION1,ATEL00TD0,2034,330.77808546897927
REGION1,ATEL00TD0,2035,340.73597355258613
REGION1,ATEL00TD0,2036,351.09386136893835
REGION1,ATEL00TD0,2037,361.45174918529057
REGION1,ATEL00TD0,2038,371.8309893177319
REGION1,ATEL00TD0,2039,382.19940344284055
REGION1,ATEL00TD0,2040,392.58921138076414
REGION1,ATEL00TD0,2041,400.5997323444268
REGION1,ATEL00TD0,2042,408.62077961684594
REGION1,ATEL00TD0,2043,416.65235319802144
REGION1,ATEL00TD0,2044,424.69445308795343
REGION1,ATEL00TD0,2045,432.7365529778855
REGION1,ATEL00TD0,2046,439.3891801119653
REGION1,ATEL00TD0,2047,446.0207546285323
REGION1,ATEL00TD0,2048,452.6312765275864
REGION1,ATEL00TD0,2049,459.21021950037107
REGION1,ATEL00TD0,2050,465.7786361643993
REGION1,ATEL00TD0,2051,465.10495240398615
REGION1,ATEL00TD0,2052,464.4207423348165
REGION1,ATEL00TD0,2053,463.7365322656469
REGION1,ATEL00TD0,2054,463.0523221964773
REGION1,ATEL00TD0,2055,462.37863843606414
REGION1,ATEL00TD0,2056,461.3891654129573
REGION1,ATEL00TD0,2057,460.39969238985054
REGION1,ATEL00TD0,2058,459.4102193667437
REGION1,ATEL00TD0,2059,458.42074634363684
REGION1,ATEL00TD0,2060,457.43127332053007
REGION1,ATELCHPH1,2033,1.796966734489537
REGION1,ATELCHPH1,2034,3.1749410376839116
REGION1,ATELCHPH1,2035,22.548361041900378
REGION1,ATELCHPH1,2036,28.96588605687302
REGION1,ATELCHPH1,2037,23.343630700822608
REGION1,ATELCHPH1,2038,24.399905535979247
REGION1,ATELCHPH1,2039,20.767933626223993
REGION1,ATELCHPH1,2040,21.756790532591666
REGION1,ATELCHPH1,2041,21.423628647854706
REGION1,ATELCHPH1,2042,19.371668776149534
REGION1,ATELCHPH1,2043,13.905756915660062
REGION1,ATELCHPH1,2044,11.236308885213903
REGION1,ATELCHPH1,2045,6.316902021702234
REGION1,ATELCHPH1,2046,1.488153585118464
REGION1,ATELCHPH1,2047,1.6782960278777952
REGION1,ATELCHPH1,2048,5.400254712333944
REGION1,ATELCHPH1,2049,5.409734106634177
REGION1,ATELCHPH1,2050,2.428232307468341
REGION1,ATELCHPH1,2051,6.662777779784357
REGION1,ATELCHPH1,2052,12.477574277266267
REGION1,ATELCHPH1,2053,27.056831456114093
REGION1,ATELCHPH1,2054,1.941293483840637
REGION1,ATELCHPH1,2055,5.405738382009092
REGION1,ATELCHPH1,2056,23.194201531584536
REGION1,ATELCHPH1,2057,21.002428625026493
REGION1,ATELCHPH1,2058,0.19756365015138383
REGION1,ATELCHPH1,2059,12.4602037579052
REGION1,ATELCHPH1,2060,7.65713672792694
REGION1,ATELCZPH1,2015,25.22879999999999
REGION1,ATELCZPH1,2016,25.22879999999999
REGION1,ATELCZPH1,2017,25.22879999999999
REGION1,ATELCZPH1,2018,25.22879999999999
REGION1,ATELCZPH1,2019,25.22879999999999
REGION1,ATELCZPH1,2020,25.22879999999999
REGION1,ATELCZPH1,2021,25.22879999999999
REGION1,ATELCZPH1,2023,6.3849600307584
REGION1,ATELCZPH1,2024,4.985280006911998
REGION1,ATELCZPH1,2025,5.1321600117504
REGION1,ATELCZPH1,2026,2.2809600024192003
REGION1,ATELCZPH1,2028,8.820464457821885
REGION1,ATELCZPH1,2031,2.2550400089856
REGION1,ATELCZPH1,2032,5.5382400013824
REGION1,ATELCZPH1,2033,4.036659261300287
REGION1,ATELCZPH1,2034,12.683099948891593
REGION1,ATELCZPH1,2035,0.5529599944704
REGION1,ATELCZPH1,2036,0.5529599944704
REGION1,ATELCZPH1,2037,0.5529599944704
REGION1,ATELCZPH1,2038,0.5529599944704
REGION1,ATELCZPH1,2039,0.5529599944704
REGION1,ATELCZPH1,2040,0.5529599944704
REGION1,ATELCZPH1,2041,0.5529599944704
REGION1,ATELCZPH1,2042,1.7960803367931033
REGION1,ATELCZPH1,2043,0.5529599944704
REGION1,ATELCZPH1,2044,4.059829787737752
REGION1,ATELCZPH1,2045,0.5529599944704
REGION1,ATELCZPH1,2046,0.5529599944704
REGION1,ATELCZPH1,2047,6.359503793063267
REGION1,ATELCZPH1,2048,14.546976058193566
REGION1,ATELCZPH1,2049,19.2182400033408
REGION1,ATELCZPH1,2050,17.1878399794944
REGION1,ATELCZPH1,2051,17.856411745017574
