REGION,TECHNOLOGY,VALUE
REGION1,ATBM00X00,5866.682634284496
REGION1,ATBMCSPN2,1304.5354778975193
REGION1,ATBMSTPH3,837.9329258476569
REGION1,ATCO00I00,358.6657099172343
REGION1,ATCOCHPH3,54.3448226813847
REGION1,ATCOSTPH3,102.71148203445921
REGION1,ATEL00TD0,16551.243975168978
REGION1,ATELCHPH1,353.46910092418653
REGION1,ATELCZPH1,382.7370854695199
REGION1,ATELDEPH1,817.3144395938311
REGION1,ATELHUPH1,1206.958441033969
REGION1,ATELITPH1,67.54963367217971
REGION1,ATELSIPH1,331.5641329468592
REGION1,ATGO00X00,283.1952046982968
REGION1,ATGOCVPH2,63.31543458172924
REGION1,ATHYDMPH1,451.4133278653814
REGION1,ATHYDMPH2,1743.9927935801259
REGION1,ATHYDMPH3,420.17145630907805
REGION1,ATHYDSPH2,575.6323502949558
REGION1,ATHYDSPH3,4089.071597317613
REGION1,ATNG00I00,1771.4182464737785
REGION1,ATNG00X00,332.0296387883062
REGION1,ATNGCCPH2,1306.7999503010747
REGION1,ATSODIFH1,0.03771798795973194
REGION1,ATSOUTPH2,937.3753693403143
REGION1,ATWIONPH3,324.68159804553966
REGION1,ATWIONPN3,2313.8967251587865
REGION1,ATWS00X00,2895.162147307754
REGION1,ATWSCHPH2,36.984472804465064
REGION1,ATWSSTPH1,840.9794479686116
REGION1,BEBM00I00,1672.2372079890201
REGION1,BEBM00X00,4746.627901513056
REGION1,BEBMCHPH3,0.004470226923070549
REGION1,BEBMCSPN2,1820.8901707472066
REGION1,BEBMSTPH3,540.1451845844116
REGION1,BECO00I00,58.58451720368602
REGION1,BECOSTPH3,26.99997565870451
REGION1,BEEL00TD0,21111.7273477957
REGION1,BEELFRPH1,2203.3476840764183
REGION1,BEELLUPH1,148.99283971491124
REGION1,BEELNLPH1,1110.0650615596069
REGION1,BEGO00X00,60.48554329218833
REGION1,BEGOCVPH2,14.384146397682013
REGION1,BEHYDMPH1,1.7959921665268979
REGION1,BEHYDSPH2,12.744928547580225
REGION1,BEHYDSPH3,66.16932150080042
REGION1,BENG00I00,8626.204876911548
REGION1,BENGCCPH2,5357.879660143274
REGION1,BENUG2PH3,2585.765440311926
REGION1,BENUG3PN3,3586.4005051414692
REGION1,BESODIFH1,0.04888492110797626
REGION1,BESOUTPH2,1671.014984683292
REGION1,BEUR00I00,18703.514464507425
